Date,Open,High,Low,Close,Adj Close,Volume
26/10/2021,164.820007,165.449997,163.119995,163.789993,160.231659,4711200
27/10/2021,163.649994,164.059998,161.660004,162.350006,158.822952,4163900
28/10/2021,163.009995,164.600006,162.809998,164.460007,160.887115,3762000
29/10/2021,163.059998,167.630005,163,167.289993,163.655624,6740600
01/11/2021,167.800003,168.800003,165.889999,166.330002,162.716476,3610800
02/11/2021,166.759995,168.160004,166.110001,167.830002,164.183899,5038000
03/11/2021,169,172.869995,168.649994,172.5,168.752426,7176700
04/11/2021,172.210007,175.630005,172,175.440002,171.628586,5460100
05/11/2021,175.729996,179.100006,175.5,177.509995,173.653595,5892200
08/11/2021,176.350006,176.539993,170.360001,171.850006,168.116562,8301100
09/11/2021,171.25,173.929993,170.949997,173.820007,170.043793,4343000
10/11/2021,171.229996,172.169998,167.550003,168.259995,164.604553,8185200
11/11/2021,169.600006,169.600006,166.630005,166.970001,163.342575,4994900
12/11/2021,167.5,169.679993,167.399994,169.089996,165.416519,5126300
15/11/2021,169.699997,170.360001,168.520004,168.850006,165.181717,3856700
16/11/2021,169.25,174,169.25,171.830002,168.096985,4401000
17/11/2021,171.600006,172.740005,170.25,171.740005,168.008972,3940200
18/11/2021,172.330002,173.460007,170.360001,171.350006,167.627411,4044200
19/11/2021,172.149994,177.199997,170.529999,174.880005,171.08075,6145600
22/11/2021,174.979996,177.75,174.229996,174.240005,170.454636,5906400
23/11/2021,173.050003,173.429993,170.410004,172.149994,168.410019,5302100
24/11/2021,168.490005,172.429993,167.669998,172.029999,168.292648,4637600
26/11/2021,168.059998,169.679993,167.539993,168.020004,164.369766,4751100
29/11/2021,169.830002,171.149994,169.229996,169.869995,166.179565,5448700
30/11/2021,168.789993,171.550003,167.529999,169.240005,165.563263,11033700
01/12/2021,170.889999,173.369995,166.679993,166.699997,163.07843,6618200
02/12/2021,167.279999,170.550003,167,170,166.306747,4398900
03/12/2021,170.619995,172.070007,166.759995,170.240005,166.840866,4878500
06/12/2021,170.830002,171.210007,168.059998,168.910004,165.53743,5636900
07/12/2021,171.110001,173.350006,170.399994,171.289993,167.869919,5898700
08/12/2021,171.220001,171.789993,169.839996,170.25,166.850632,5614400
09/12/2021,169.289993,171.169998,167.990005,168.100006,164.743607,5171600
